,num_tokens,length
1,239,253
2,373,367
3,430,439
4,252,286
5,271,257
6,1298,1384
7,2167,2274
8,1250,1300
9,197,204
10,1376,1414
11,546,576
12,127,126
13,1526,1594
14,359,374
15,508,535
16,274,291
17,2230,2284
18,966,966
19,747,720
20,279,277
21,1346,1246
22,183,166
23,390,398
24,173,168
25,227,223
26,246,237
27,1187,1252
28,231,256
29,361,345
30,771,776
31,470,484
32,251,252
33,678,744
34,610,631
35,234,240
36,299,281
37,543,553
38,2479,2572
39,1254,1237
40,2930,3623
41,202,191
42,286,285
43,274,254
44,242,234
45,1122,1119
46,551,475
47,807,771
48,526,525
49,1059,1032
50,923,973
51,1395,1404
52,1079,969
53,233,233
54,259,239
55,971,972
56,906,884
57,388,373
58,331,314
59,386,432
60,491,475
61,418,395
62,408,366
63,446,460
64,245,227
65,321,321
66,368,321
67,389,340
68,834,803
69,773,733
70,316,310
71,470,481
72,567,518
73,2546,2518
74,845,779
75,499,477
76,195,188
77,520,516
78,903,952
79,1246,1258
80,429,424
81,481,457
82,128,142
83,367,351
84,279,317
85,627,627
86,472,510
87,585,638
88,1014,1023
89,323,335
90,169,173
91,369,373
92,835,907
93,648,690
94,372,395
95,410,411
96,476,526
97,156,176
98,594,650
99,2320,5366
100,1506,1485
101,149,147
102,431,440
103,473,495
104,276,256
105,415,418
106,216,233
107,596,638
108,306,319
109,262,268
110,358,378
111,518,542
112,350,368
113,667,676
114,240,218
115,541,568
116,1102,1131
117,987,1008
118,353,343
119,278,311
120,389,400
121,440,449
122,224,361
123,373,376
124,344,334
125,1047,1003
126,270,235
127,366,368
128,1006,1062
129,898,947
130,420,431
131,1436,1338
132,255,269
133,631,632
134,260,245
135,575,607
136,1028,1101
137,252,279
138,771,818
139,794,1008
140,326,321
141,408,395
142,266,287
143,335,346
144,516,510
145,347,326
146,192,203
147,369,334
148,284,282
149,604,627
150,208,217
151,342,369
152,331,322
153,1408,1402
154,621,981
155,818,776
156,909,890
157,960,973
158,538,535
159,683,663
160,610,624
161,697,1569
162,270,275
163,534,544
164,612,620
165,417,533
166,1776,1774
167,376,363
168,821,814
169,510,492
170,303,301
171,294,302
172,187,183
173,1086,1061
174,703,686
175,703,667
176,456,405
177,301,322
178,935,1707
179,324,366
180,453,739
181,744,907
182,496,488
183,214,199
184,945,939
185,399,378
186,422,427
187,700,676
188,267,270
189,803,813
190,1854,2429
191,257,244
192,257,244
193,511,517
194,785,790
195,442,471
196,200,214
197,373,401
198,358,337
199,727,692
200,384,344
201,930,896
202,490,537
203,182,172
204,1181,1377
205,472,481
206,947,984
207,1010,1127
208,329,310
209,259,231
210,155,155
211,533,539
212,713,796
213,189,197
214,370,436
215,1038,1047
216,456,472
217,621,660
218,693,998
219,881,913
220,123,124
221,230,221
222,750,741
223,607,599
224,60,60
225,426,413
226,246,244
227,15,15
228,297,271
229,753,816
230,542,682
231,190,198
232,258,226
233,326,326
234,222,213
235,341,419
236,145,165
237,470,436
238,262,269
239,477,495
240,340,331
241,611,593
242,527,548
243,210,227
244,351,338
245,141,134
246,282,300
247,464,460
248,130,132
249,199,188
250,433,457
251,123,129
252,574,642
253,449,481
254,422,430
255,314,318
256,620,814
257,197,241
258,166,171
259,826,955
260,243,241
261,395,396
262,468,455
263,237,254
264,671,696
265,331,337
266,518,515
267,722,705
268,945,892
269,157,156
270,298,299
271,174,170
272,188,181
273,736,789
274,1316,1297
275,542,554
276,231,229
277,525,602
278,292,289
279,745,908
280,608,714
281,238,241
282,326,487
283,153,158
284,238,231
285,961,951
286,553,568
287,927,894
288,610,570
289,111,109
290,1064,1264
291,717,729
292,730,769
293,1042,1075
294,529,501
295,116,117
296,294,253
297,973,1059
298,519,516
299,1591,1632
300,283,273
301,483,481
302,478,553
303,358,340
304,605,604
305,704,684
306,235,247
307,471,449
308,474,490
309,204,206
310,229,209
311,609,560
312,325,318
313,208,209
314,210,214
315,122,125
316,368,395
317,197,203
318,263,262
319,369,377
320,319,350
321,602,602
322,405,372
323,319,350
324,363,420
325,400,423
326,260,304
327,344,347
328,180,174
329,428,576
330,295,309
331,870,1134
332,768,775
333,233,234
334,206,240
335,383,550
336,193,180
337,424,419
338,206,205
339,218,269
340,324,323
341,192,187
342,443,834
343,292,287
344,650,653
345,284,300
346,329,319
347,260,258
348,376,377
349,209,191
350,584,1001
351,320,311
352,257,254
353,120,120
354,265,285
355,281,354
356,1741,2806
357,1490,1768
358,295,317
359,204,195
360,172,170
361,368,347
362,1953,3879
363,251,237
364,298,262
365,206,203
366,562,774
367,625,602
368,590,1129
369,376,361
370,241,246
371,714,669
372,239,284
373,676,683
374,660,1741
375,591,556
376,286,287
377,393,371
378,611,608
379,551,524
380,457,590
381,331,323
382,361,340
383,257,276
384,243,235
385,280,278
386,141,145
387,306,294
388,335,326
389,1041,1516
390,224,225
391,703,727
392,352,320
393,153,136
394,167,159
395,221,201
396,237,211
397,650,604
