,num_tokens,length
1,185,197
2,183,178
3,195,194
4,16,17
5,198,192
6,163,162
7,164,161
8,194,194
9,165,167
10,183,185
11,179,175
12,202,195
13,152,163
14,176,187
15,148,162
16,159,187
17,199,180
18,187,188
19,82,78
20,132,132
21,84,82
22,131,135
23,111,112
24,107,108
25,93,97
26,161,184
27,125,142
28,162,179
29,155,175
30,149,167
31,155,173
32,76,75
33,114,113
34,178,173
35,140,142
36,140,144
37,131,128
38,151,138
39,108,134
40,160,173
41,139,148
42,153,156
43,155,171
44,137,154
45,80,83
46,179,190
47,145,155
48,64,65
49,166,176
50,174,181
51,170,182
52,145,150
53,135,143
54,136,153
55,60,59
56,184,189
57,163,165
58,176,190
59,142,160
60,170,182
61,178,176
62,137,130
63,161,164
64,184,187
65,185,191
66,171,179
67,152,167
68,189,193
69,146,154
70,191,192
71,159,168
72,181,158
73,131,158
74,153,159
75,179,178
76,188,191
77,154,161
78,115,116
79,185,186
80,123,130
81,193,190
82,190,189
83,154,169
84,149,161
85,167,191
86,127,126
87,185,169
88,89,125
89,88,88
90,173,180
91,86,86
92,103,112
93,80,98
94,110,134
95,98,85
96,180,179
97,175,177
98,144,148
99,70,80
100,101,112
101,146,157
102,173,174
103,169,184
104,112,124
105,174,171
106,79,83
107,138,149
108,168,171
109,49,47
110,152,163
111,172,177
112,173,184
113,66,60
114,27,36
115,196,194
116,197,194
117,195,191
118,199,195
119,202,197
120,202,196
121,197,195
122,196,185
123,201,192
124,203,194
125,205,197
126,206,197
127,202,193
128,201,195
129,200,190
130,204,194
131,209,198
132,206,198
133,204,195
134,207,197
135,199,196
136,186,193
137,190,196
138,187,193
139,192,195
140,191,193
141,193,196
142,193,196
143,191,195
144,191,196
145,190,196
146,190,196
147,186,194
148,187,194
149,184,195
150,183,194
151,192,192
152,199,197
153,198,197
154,198,191
155,200,194
156,204,198
157,207,199
158,207,199
159,204,198
160,207,199
161,206,199
162,197,193
163,201,196
164,194,195
165,198,196
166,199,197
167,201,198
168,197,195
169,196,197
170,195,196
171,194,197
172,193,196
173,193,197
174,193,197
175,195,197
176,195,197
177,194,195
178,195,197
179,197,197
180,192,194
181,199,196
182,196,195
183,199,196
184,201,196
185,197,195
186,199,196
187,201,197
188,197,195
189,197,196
190,191,193
191,192,195
192,193,196
193,195,196
194,194,197
195,194,196
196,194,195
197,191,197
198,191,197
199,186,194
200,189,196
201,186,188
202,193,193
203,197,196
204,197,197
205,193,195
206,193,195
207,194,195
208,191,194
209,191,196
210,191,193
211,193,195
212,191,194
213,193,196
214,194,194
215,195,194
216,198,196
217,196,195
218,199,195
219,200,195
220,200,195
221,198,193
222,198,194
223,199,195
224,199,194
225,196,196
226,195,194
227,199,196
228,195,195
229,197,193
230,195,195
231,192,194
232,191,195
233,192,195
234,190,193
235,192,196
236,192,194
237,190,195
238,191,194
239,192,195
240,192,197
241,192,197
242,191,197
243,190,196
244,192,196
245,191,194
246,194,195
247,192,196
248,193,196
249,192,196
250,191,196
251,190,195
252,191,195
253,189,194
254,190,195
255,191,197
256,187,193
257,92,94
258,207,196
259,208,196
260,210,193
261,214,197
262,216,199
263,216,198
264,211,196
265,208,193
266,152,158
267,92,111
268,158,152
269,193,184
270,197,196
271,127,130
272,174,178
273,172,175
274,170,184
275,180,179
276,150,140
277,154,143
278,212,174
279,221,191
280,173,174
281,172,183
282,148,162
283,155,167
284,168,182
285,155,157
286,188,195
287,188,195
288,182,189
289,128,122
290,193,163
291,217,189
292,222,185
293,230,180
294,239,185
295,174,137
296,172,168
297,200,188
298,182,181
299,160,171
300,161,172
301,144,136
302,200,188
303,150,130
304,193,177
305,104,107
306,183,166
307,90,84
308,200,186
309,132,152
310,173,168
311,174,175
312,162,165
313,143,143
314,199,187
315,189,184
316,170,171
317,136,119
318,63,50
319,141,161
320,140,160
321,131,181
322,133,184
323,131,183
324,128,180
325,130,180
326,134,185
327,129,182
328,129,182
329,130,183
330,130,167
331,140,177
332,143,181
333,144,182
334,158,145
335,196,192
336,152,165
337,176,178
338,173,184
339,175,190
340,159,174
341,202,199
342,197,197
343,197,198
344,196,196
345,194,196
346,192,196
347,190,197
348,188,195
349,188,198
350,188,198
351,185,199
352,186,199
353,187,198
354,187,196
355,188,198
356,187,195
357,187,196
358,191,196
359,192,198
360,189,197
361,191,199
362,189,195
363,186,193
364,105,122
365,211,186
366,205,193
367,183,190
368,166,170
369,152,161
370,196,183
371,191,187
372,175,171
373,186,193
374,158,171
375,142,139
376,185,190
377,147,143
378,157,154
379,160,156
380,166,169
381,158,175
382,153,165
383,118,112
384,170,177
385,107,113
386,165,160
387,173,165
388,120,137
389,99,125
390,131,148
391,161,176
392,170,176
393,134,157
394,163,170
395,188,196
396,169,165
397,159,158
398,154,150
399,191,195
400,189,183
401,182,185
402,149,161
403,171,169
404,196,192
405,155,162
406,117,110
407,203,196
408,204,196
409,184,173
410,148,146
411,160,162
412,172,179
413,155,170
414,124,125
415,175,177
416,185,185
417,72,69
418,174,147
419,185,159
420,126,104
421,178,170
422,155,161
423,154,153
424,186,193
425,167,179
426,152,181
427,156,179
428,142,154
429,187,197
430,174,188
431,173,184
432,144,165
433,161,185
434,136,150
435,173,182
436,116,116
437,97,112
438,160,184
439,155,170
440,173,182
441,129,132
442,156,159
443,192,189
444,210,190
445,198,178
446,149,169
447,136,146
448,191,171
449,207,184
450,187,171
451,172,152
452,212,192
453,141,138
454,113,124
455,87,91
456,127,123
457,82,78
458,29,26
459,33,35
460,149,194
461,149,175
462,154,182
463,156,184
464,159,188
465,163,192
466,169,196
467,167,195
468,163,191
469,155,184
470,150,180
471,148,177
472,143,172
473,141,169
474,138,196
475,171,189
476,177,195
477,175,175
478,180,180
479,181,183
480,185,187
481,190,191
482,194,194
483,193,196
484,190,195
485,192,197
486,194,198
487,193,197
488,189,194
489,207,193
490,212,196
491,208,194
492,205,196
493,204,197
494,202,197
495,206,198
496,202,197
497,201,195
498,201,196
499,201,197
500,201,197
501,200,197
502,64,194
503,69,178
504,72,183
505,75,187
506,79,192
507,82,195
508,83,197
509,82,196
510,84,197
511,84,197
512,85,197
513,86,197
514,86,89
515,88,91
516,90,94
517,90,94
518,90,94
519,90,94
520,90,94
521,90,94
522,90,94
523,90,94
524,90,94
525,90,94
526,90,94
527,90,94
528,90,94
529,90,94
530,90,94
531,90,94
532,90,94
533,90,94
534,90,94
535,90,94
536,91,114
537,69,196
538,65,184
539,68,188
540,72,193
541,80,198
542,77,197
543,74,193
544,63,68
545,63,68
546,63,68
547,63,68
548,63,68
549,63,68
550,63,68
551,63,68
552,63,68
553,63,68
554,63,68
555,63,68
556,63,68
557,63,68
558,63,68
559,63,68
560,63,68
561,63,68
562,63,68
563,63,68
564,63,68
565,63,68
566,63,68
567,63,68
568,63,68
569,63,68
570,63,68
571,63,68
572,63,68
573,63,68
574,63,68
575,63,68
576,63,68
577,63,68
578,63,68
579,63,68
580,63,68
581,63,68
582,63,68
583,63,68
584,63,68
585,63,68
586,63,68
587,63,68
588,63,68
589,63,68
590,63,68
591,63,68
592,63,68
593,64,130
594,172,195
595,168,183
596,171,187
597,175,191
598,180,197
599,178,198
600,173,192
601,167,188
602,163,183
603,161,180
604,155,175
605,151,172
606,146,165
607,139,195
608,171,192
609,176,195
610,174,176
611,179,183
612,181,185
613,184,189
614,188,193
615,189,197
616,186,194
617,180,190
618,176,185
619,174,182
620,169,192
621,185,194
622,184,196
623,182,191
624,184,193
625,186,196
626,186,195
627,180,191
628,175,185
629,169,181
630,165,176
631,163,173
632,157,168
633,153,165
634,149,194
635,193,193
636,197,195
637,196,196
638,196,195
639,195,196
640,195,195
641,194,195
642,197,196
643,194,197
644,193,197
645,185,189
646,182,185
647,177,194
648,192,191
649,187,168
650,210,192
651,205,189
652,178,177
653,189,187
654,86,139
655,30,29
656,151,173
657,125,132
658,72,75
659,202,191
660,172,166
661,200,198
662,181,175
663,118,121
664,211,195
665,180,173
666,148,142
667,178,175
668,198,197
669,179,180
670,111,109
671,184,188
672,179,187
673,186,192
674,180,191
675,158,165
676,100,97
677,212,192
678,180,175
679,217,192
680,217,191
681,65,47
682,220,185
683,21,22
684,189,173
685,59,59
686,148,132
687,166,149
688,187,169
689,142,139
690,183,186
691,183,180
692,162,159
693,149,147
694,156,163
695,165,173
696,173,174
697,128,123
698,15,12
699,93,103
700,110,122
701,81,88
702,16,18
703,230,194
704,181,173
705,212,194
706,213,194
707,211,193
708,215,195
709,211,194
710,214,197
711,204,193
712,101,98
713,65,72
714,151,148
715,123,135
716,161,165
717,91,85
718,99,119
719,188,187
720,191,191
721,165,181
722,152,164
723,169,184
724,37,39
725,201,188
726,154,147
727,114,121
728,154,153
729,160,155
730,154,152
731,143,148
732,137,144
733,140,145
734,144,147
735,138,137
736,147,148
737,156,159
738,157,162
739,157,161
740,102,93
741,194,183
742,156,148
743,206,189
744,206,172
745,209,176
746,198,190
747,128,106
748,125,107
749,185,156
750,188,162
751,172,151
752,180,155
753,155,139
754,131,141
755,190,191
756,164,157
757,201,184
758,210,195
759,174,166
760,10,8
761,194,197
762,194,197
763,86,87
764,158,159
765,188,173
766,164,163
767,195,195
768,193,195
769,193,196
770,196,197
771,198,199
772,194,198
773,194,196
774,194,198
775,190,196
776,192,198
777,189,198
778,193,199
779,195,197
780,193,197
781,191,173
782,95,102
783,162,138
784,173,156
785,171,165
786,93,98
787,189,192
788,152,142
789,188,176
790,177,165
791,131,133
792,151,151
793,203,194
794,183,170
795,180,161
796,137,148
797,158,168
798,89,112
799,131,115
800,207,192
801,209,192
802,188,173
803,201,185
804,167,176
805,155,174
806,158,171
807,173,161
808,205,189
809,207,189
810,169,150
811,186,168
812,172,158
813,189,183
814,151,138
815,226,195
816,201,175
817,138,123
818,162,162
819,192,193
820,177,185
821,139,149
822,169,176
823,165,151
824,198,185
825,204,192
826,170,182
827,72,60
828,209,184
829,126,106
830,214,185
831,219,188
832,219,190
833,179,157
834,200,192
835,118,112
836,106,107
837,34,35
838,83,79
839,167,145
840,190,161
841,142,125
842,140,143
843,36,44
844,175,164
845,206,197
846,195,179
847,199,188
848,181,176
849,207,186
850,160,154
851,173,173
852,194,190
853,158,158
854,183,164
855,180,175
856,170,190
857,172,192
858,149,174
859,161,181
860,143,124
861,230,196
862,163,138
863,159,172
864,12,11
865,95,89
866,125,118
867,164,160
868,2,2
869,10,12
870,114,103
871,130,150
872,136,124
873,195,175
874,209,193
875,219,196
876,215,194
877,220,197
878,222,196
879,228,197
880,222,195
881,223,197
882,221,196
883,220,197
884,215,193
885,4,2
886,14,11
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
1000,0,0
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,0,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,0,0
1036,0,0
1037,50,58
1038,132,147
1039,158,135
1040,148,141
1041,184,165
1042,34,42
1043,92,103
1044,185,195
1045,187,197
1046,185,198
1047,186,198
1048,184,197
1049,175,196
1050,176,198
1051,178,198
1052,178,198
1053,178,197
1054,178,196
1055,180,198
1056,181,198
1057,183,199
1058,176,198
1059,172,197
1060,177,198
1061,176,199
1062,170,195
1063,27,24
1064,199,197
1065,197,199
1066,202,195
1067,194,192
1068,114,104
1069,217,192
1070,218,187
1071,219,186
1072,232,195
1073,200,166
1074,212,182
1075,225,194
1076,187,178
1077,166,152
1078,167,163
1079,172,176
1080,177,175
1081,122,114
1082,110,93
1083,163,155
1084,190,191
1085,167,167
1086,195,188
1087,188,186
1088,183,181
1089,175,163
1090,119,126
1091,181,180
1092,113,84
1093,37,43
1094,118,142
1095,142,166
1096,126,136
1097,143,171
1098,159,180
1099,160,171
1100,177,188
1101,133,135
1102,191,182
1103,140,144
1104,138,141
1105,146,162
1106,132,147
1107,148,142
1108,134,177
1109,124,160
1110,159,172
1111,240,191
1112,162,158
1113,191,183
1114,200,191
1115,201,194
1116,191,188
1117,178,177
1118,182,193
1119,125,126
1120,203,172
1121,154,159
1122,128,142
1123,195,182
1124,206,196
1125,169,164
1126,149,149
1127,140,137
1128,167,191
1129,96,109
1130,36,35
1131,100,94
1132,203,198
1133,187,191
1134,192,195
1135,155,169
1136,178,191
1137,182,188
1138,169,166
1139,185,168
1140,163,154
1141,160,152
1142,172,178
1143,159,167
1144,136,152
1145,136,159
1146,144,171
1147,167,170
1148,124,125
1149,174,187
1150,178,188
1151,177,185
1152,161,168
1153,174,180
1154,169,175
1155,187,193
1156,172,188
1157,162,183
1158,15,17
1159,162,162
1160,163,171
1161,48,45
1162,93,90
1163,63,66
1164,113,111
1165,176,179
1166,150,152
1167,174,189
1168,172,176
1169,119,114
1170,160,163
1171,171,182
1172,188,188
1173,162,170
1174,169,173
1175,201,193
1176,209,195
1177,186,176
1178,192,193
1179,168,178
1180,183,188
1181,178,175
1182,178,182
1183,151,177
1184,134,164
1185,183,188
1186,180,185
1187,144,152
1188,104,111
1189,157,165
1190,188,194
1191,120,130
1192,121,131
1193,148,156
1194,160,163
1195,159,180
1196,96,105
1197,101,105
1198,180,179
1199,87,95
1200,153,163
1201,139,127
1202,116,117
1203,149,162
1204,195,193
1205,132,140
1206,109,139
1207,156,176
1208,153,165
1209,173,195
1210,170,192
1211,149,166
1212,179,186
1213,80,90
1214,168,178
1215,119,121
1216,105,106
1217,140,138
1218,148,156
1219,83,80
1220,181,183
1221,185,186
1222,183,188
1223,168,176
1224,175,185
1225,179,188
1226,175,184
1227,179,188
1228,164,176
1229,177,183
1230,177,187
1231,170,188
1232,169,184
1233,175,188
1234,165,176
1235,0,0
1236,0,0
1237,0,0
1238,0,0
1239,0,0
1240,0,0
1241,0,0
1242,0,0
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,0,0
1249,0,0
1250,0,0
1251,0,0
1252,0,0
1253,0,0
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,0,0
1259,0,0
1260,0,0
1261,0,0
1262,0,0
1263,0,0
1264,0,0
1265,0,0
1266,0,0
1267,0,0
1268,0,0
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,0,0
1274,0,0
1275,0,0
1276,0,0
1277,0,0
1278,0,0
1279,0,0
1280,0,0
1281,0,0
1282,0,0
1283,0,0
1284,0,0
1285,0,0
1286,0,0
1287,0,0
1288,0,0
1289,0,0
1290,0,0
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,0,0
1296,0,0
1297,0,0
1298,0,0
1299,0,0
1300,0,0
1301,0,0
1302,0,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1307,0,0
1308,0,0
1309,0,0
1310,0,0
1311,0,0
1312,0,0
1313,0,0
1314,0,0
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,0
1320,0,0
1321,0,0
1322,0,0
