model,epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@1,cos_sim-Recall@1,cos_sim-Precision@3,cos_sim-Recall@3,cos_sim-Precision@5,cos_sim-Recall@5,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-MRR@10,cos_sim-NDCG@10,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@1,dot_score-Recall@1,dot_score-Precision@3,dot_score-Recall@3,dot_score-Precision@5,dot_score-Recall@5,dot_score-Precision@10,dot_score-Recall@10,dot_score-MRR@10,dot_score-NDCG@10,dot_score-MAP@100
KoSimCSE,-1,-1,0.4565425023877746,0.6341929321872015,0.6943648519579751,0.775549188156638,0.4565425023877746,0.4565425023877746,0.2113976440624005,0.6341929321872015,0.138872970391595,0.6943648519579751,0.0775549188156637,0.775549188156638,0.558354557996392,0.6104725391331709,0.5660207518685775,0.4097421203438395,0.5921680993314231,0.664756446991404,0.7526265520534862,0.4097421203438395,0.4097421203438395,0.1973893664438077,0.5921680993314231,0.1329512893982808,0.664756446991404,0.0752626552053486,0.7526265520534862,0.5173780718909657,0.5737616268666965,0.5261047798057644
Original,-1,-1,0.8433619866284623,0.9484240687679084,0.9646609360076408,0.9780324737344794,0.8433619866284623,0.8433619866284623,0.3161413562559694,0.9484240687679084,0.1929321872015282,0.9646609360076408,0.0978032473734479,0.9780324737344794,0.8973677627689092,0.9175194941051488,0.8981735343096556,0.8185291308500477,0.9436485195797516,0.9637058261700095,0.9789875835721108,0.8185291308500477,0.8185291308500477,0.3145495065265838,0.9436485195797516,0.1927411652340019,0.9637058261700095,0.097898758357211,0.9789875835721108,0.8838684980518795,0.9076928452185928,0.8845664363497789
Epoch_1,-1,-1,0.8080229226361032,0.9255014326647564,0.9455587392550144,0.9665711556829036,0.8080229226361032,0.8080229226361032,0.3085004775549188,0.9255014326647564,0.1891117478510028,0.9455587392550144,0.0966571155682903,0.9665711556829036,0.8690881733145347,0.8933068255074192,0.8706128263130014,0.7879656160458453,0.9245463228271252,0.9436485195797516,0.9637058261700095,0.7879656160458453,0.7879656160458453,0.3081821076090417,0.9245463228271252,0.1887297039159503,0.9436485195797516,0.0963705826170009,0.9637058261700095,0.8576734737193195,0.8841213921170037,0.8593676507851414
Epoch_2,-1,-1,0.8194842406876791,0.9350525310410696,0.9512893982808024,0.9751671442215856,0.8194842406876791,0.8194842406876791,0.3116841770136898,0.9350525310410696,0.1902578796561604,0.9512893982808024,0.0975167144221585,0.9751671442215856,0.8774165794939442,0.901504539358706,0.8783793888785297,0.8118433619866284,0.9312320916905444,0.9512893982808024,0.9751671442215856,0.8118433619866284,0.8118433619866284,0.3104106972301814,0.9312320916905444,0.1902578796561604,0.9512893982808024,0.0975167144221585,0.9751671442215856,0.8728980003335312,0.8981628412861811,0.8738050724158131
Epoch_3,-1,-1,0.8242597898758357,0.9293218720152816,0.9484240687679084,0.9608404966571156,0.8242597898758357,0.8242597898758357,0.3097739573384271,0.9293218720152816,0.1896848137535816,0.9484240687679084,0.0960840496657115,0.9608404966571156,0.8784304361668263,0.8990237327318716,0.8800095688196643,0.8080229226361032,0.9207258834765998,0.9474689589302768,0.9608404966571156,0.8080229226361032,0.8080229226361032,0.3069086278255332,0.9207258834765998,0.1894937917860554,0.9474689589302768,0.0960840496657115,0.9608404966571156,0.8679014872424621,0.8910547835487052,0.8694099729592625
Epoch_4,-1,-1,0.8319006685768864,0.9407831900668576,0.9551098376313276,0.9742120343839542,0.8319006685768864,0.8319006685768864,0.3135943966889525,0.9407831900668576,0.1910219675262655,0.9551098376313276,0.0974212034383954,0.9742120343839542,0.8871734812995563,0.9087670410208804,0.8880950920480722,0.8233046800382043,0.9369627507163324,0.9579751671442216,0.9742120343839542,0.8233046800382043,0.8233046800382043,0.312320916905444,0.9369627507163324,0.1915950334288443,0.9579751671442216,0.0974212034383954,0.9742120343839542,0.8813594396688958,0.9043765347465657,0.8822484111855827
Epoch_5,-1,-1,0.830945558739255,0.9426934097421203,0.956064947468959,0.97134670487106,0.830945558739255,0.830945558739255,0.3142311365807067,0.9426934097421203,0.1912129894937918,0.956064947468959,0.097134670487106,0.97134670487106,0.8867508830975884,0.907880030713612,0.8879194161620357,0.8242597898758357,0.933142311365807,0.9541547277936964,0.97134670487106,0.8242597898758357,0.8242597898758357,0.3110474371219356,0.933142311365807,0.1908309455587392,0.9541547277936964,0.097134670487106,0.97134670487106,0.8823509346431987,0.9045204793159918,0.8834801479161992
Epoch_6,-1,-1,0.8347659980897804,0.933142311365807,0.9570200573065902,0.97134670487106,0.8347659980897804,0.8347659980897804,0.3110474371219356,0.933142311365807,0.191404011461318,0.9570200573065902,0.097134670487106,0.97134670487106,0.8882741316838741,0.9089334192746392,0.8893945637154613,0.828080229226361,0.936007640878701,0.956064947468959,0.9703915950334288,0.828080229226361,0.828080229226361,0.312002546959567,0.936007640878701,0.1912129894937918,0.956064947468959,0.0970391595033428,0.9703915950334288,0.884823986901351,0.906192171567893,0.885999583513469
Epoch_7,-1,-1,0.833810888252149,0.9369627507163324,0.958930276981853,0.9732569245463228,0.833810888252149,0.833810888252149,0.312320916905444,0.9369627507163324,0.1917860553963705,0.958930276981853,0.0973256924546322,0.9732569245463228,0.8881543639423299,0.9093137939257824,0.8891264216056104,0.8261700095510984,0.9321872015281756,0.958930276981853,0.9732569245463228,0.8261700095510984,0.8261700095510984,0.3107290671760585,0.9321872015281756,0.1917860553963705,0.958930276981853,0.0973256924546322,0.9732569245463228,0.8834167159382063,0.905760805282184,0.8843371451152857
Epoch_8,-1,-1,0.8385864374403056,0.9340974212034384,0.9493791786055396,0.97134670487106,0.8385864374403056,0.8385864374403056,0.3113658070678128,0.9340974212034384,0.1898758357211079,0.9493791786055396,0.097134670487106,0.97134670487106,0.8891170540167677,0.9094257271023248,0.8901021442844723,0.8261700095510984,0.9302769818529132,0.9493791786055396,0.9694364851957976,0.8261700095510984,0.8261700095510984,0.3100923272843043,0.9302769818529132,0.1898758357211079,0.9493791786055396,0.0969436485195797,0.9694364851957976,0.8806071011658408,0.9025928190759024,0.8817168031340203
