,num_tokens,length
1,499,497
2,294,292
3,297,271
4,123,124
5,60,60
6,741,720
7,524,524
8,190,198
9,919,935
10,1080,1130
11,823,821
12,246,244
13,230,221
14,580,603
15,607,599
16,687,727
17,392,380
18,753,816
19,456,472
20,1038,1047
21,294,302
22,208,217
23,892,938
24,444,481
25,907,973
26,335,346
27,301,322
28,966,1069
29,548,527
30,331,322
31,369,334
32,971,1072
33,260,245
34,456,405
35,602,623
36,727,716
37,878,834
38,303,301
39,376,363
40,703,667
41,735,709
42,778,762
43,409,422
44,192,203
45,324,366
46,1726,1744
47,516,510
48,1392,1400
49,1398,1326
50,736,798
51,284,282
52,347,326
53,575,607
54,488,487
55,669,681
56,950,981
57,526,534
58,187,183
59,604,613
60,342,369
61,420,431
62,360,350
63,859,867
64,613,628
65,945,939
66,214,199
67,252,279
68,408,395
69,604,627
70,255,269
71,703,686
72,901,886
73,1082,1057
74,590,587
75,612,612
76,270,275
77,266,287
78,248,236
79,301,334
80,271,257
81,274,291
82,234,240
83,430,439
84,390,398
85,966,966
86,279,277
87,1359,1443
88,359,374
89,373,367
90,470,484
91,747,720
92,1713,1833
93,299,281
94,209,202
95,1270,1382
96,363,384
97,2288,2431
98,546,576
99,183,166
100,2061,2203
101,543,553
102,361,345
103,2479,2572
104,251,252
105,197,204
106,508,535
107,1254,1237
108,3008,3128
109,127,126
110,1346,1246
111,662,716
112,821,821
113,239,253
114,610,631
115,2205,2231
116,173,168
117,246,237
118,1122,1154
119,286,287
120,242,288
121,1410,1415
122,307,329
123,281,354
124,368,347
125,298,262
126,241,246
127,676,683
128,1924,2168
129,591,556
130,204,195
131,206,203
132,540,505
133,1734,1747
134,251,237
135,574,497
136,611,608
137,758,730
138,625,602
139,393,371
140,634,616
141,186,183
142,376,361
143,369,377
144,476,473
145,286,284
146,424,404
147,427,449
148,193,180
149,320,311
150,392,409
151,209,191
152,889,921
153,571,633
154,504,460
155,122,125
156,614,559
157,284,300
158,945,949
159,233,234
160,179,186
161,360,359
162,319,350
163,324,323
164,357,387
165,460,453
166,240,284
167,292,287
168,729,730
169,120,120
170,418,452
171,386,388
172,205,201
173,295,309
174,319,350
175,182,185
176,206,205
177,248,244
178,192,187
179,362,360
180,376,377
181,366,389
182,180,174
183,155,155
184,410,416
185,979,980
186,1744,1702
187,803,813
188,533,539
189,442,471
190,373,401
191,200,214
192,344,328
193,1034,1022
194,1102,1065
195,267,270
196,257,244
197,472,481
198,520,532
199,447,497
200,829,802
201,329,310
202,511,517
203,384,344
204,1170,1197
205,257,244
206,762,735
207,788,786
208,182,172
209,259,231
210,429,424
211,987,1008
212,366,368
213,240,218
214,481,457
215,835,907
