,num_tokens,length
1,187,194
2,168,180
3,179,174
4,178,167
5,177,158
6,186,178
7,164,178
8,200,190
9,158,162
10,172,166
11,123,124
12,60,60
13,155,134
14,196,189
15,183,189
16,185,193
17,176,191
18,113,101
19,183,172
20,180,174
21,137,146
22,96,96
23,177,170
24,189,183
25,61,56
26,154,160
27,176,183
28,202,186
29,193,192
30,160,185
31,161,185
32,169,193
33,171,195
34,174,194
35,176,185
36,187,196
37,198,195
38,191,189
39,184,183
40,182,185
41,189,195
42,185,191
43,187,188
44,170,178
45,186,190
46,135,133
47,15,15
48,177,166
49,76,92
50,181,173
51,184,192
52,188,192
53,134,141
54,174,185
55,163,175
56,119,128
57,46,44
58,207,195
59,158,158
60,170,174
61,184,177
62,183,179
63,181,184
64,175,175
65,163,165
66,168,173
67,144,134
68,200,193
69,127,136
70,165,163
71,187,184
72,190,184
73,178,186
74,165,168
75,186,181
76,193,189
77,177,178
78,180,186
79,165,180
80,177,194
81,127,115
82,198,197
83,158,146
84,179,169
85,173,169
86,94,98
87,167,191
88,157,161
89,158,154
90,214,196
91,183,186
92,131,144
93,108,103
94,118,106
95,115,112
96,59,62
97,128,135
98,142,150
99,159,179
100,164,176
101,160,180
102,162,178
103,172,185
104,103,106
105,147,149
106,109,130
107,116,129
108,203,192
109,192,190
110,15,16
111,129,151
112,146,156
113,164,177
114,150,166
115,83,95
116,196,181
117,203,181
118,205,185
119,203,183
120,196,182
121,171,167
122,152,161
123,174,170
124,190,191
125,191,194
126,173,181
127,170,181
128,186,192
129,168,173
130,174,186
131,167,176
132,186,194
133,167,174
134,175,178
135,176,179
136,185,188
137,182,188
138,181,196
139,169,183
140,180,194
141,193,194
142,173,174
143,22,17
144,207,195
145,171,187
146,116,162
147,198,169
148,164,189
149,150,171
150,2,2
151,141,151
152,173,180
153,148,177
154,135,174
155,203,191
156,173,173
157,131,153
158,180,175
159,180,177
160,166,190
161,120,145
162,28,27
163,180,180
164,186,182
165,162,166
166,128,132
167,139,197
168,146,165
169,74,96
170,178,183
171,106,100
172,199,183
173,89,92
174,169,162
175,165,155
176,209,192
177,211,189
178,178,160
179,165,165
180,212,182
181,190,180
182,167,166
183,175,182
184,187,183
185,190,173
186,194,189
187,172,175
188,166,167
189,143,158
190,165,180
191,179,187
192,116,178
193,118,185
194,119,187
195,122,185
196,122,187
197,123,189
198,127,190
199,125,189
200,125,189
201,127,189
202,83,67
203,177,172
204,170,155
205,206,196
206,138,138
207,192,179
208,197,185
209,177,171
210,168,160
211,220,183
212,114,112
213,156,155
214,188,188
215,155,155
216,136,136
217,184,182
218,89,112
219,131,126
220,191,177
221,172,164
222,137,127
223,91,102
224,148,151
225,187,189
226,212,189
227,193,177
228,199,194
229,140,134
230,190,177
231,186,177
232,181,184
233,190,190
234,191,189
235,193,192
236,179,182
237,117,108
238,187,179
239,206,194
240,206,194
241,192,194
242,56,51
243,212,196
244,214,196
245,109,116
246,220,195
247,209,195
248,200,174
249,206,188
250,156,169
251,172,167
252,79,77
253,151,128
254,214,186
255,107,100
256,184,179
257,170,173
258,143,163
259,208,198
260,182,175
261,186,171
262,148,171
263,179,189
264,198,182
265,37,27
266,200,192
267,143,152
268,134,158
269,180,189
270,161,177
271,119,112
272,166,177
273,95,140
274,63,54
275,201,172
276,195,179
277,187,178
278,189,187
279,194,190
280,190,185
281,207,181
282,206,183
283,203,184
284,202,185
285,144,141
286,176,182
287,187,192
288,156,163
289,174,185
290,185,193
291,172,170
292,159,156
293,189,182
294,197,190
295,178,167
296,197,179
297,173,156
298,149,166
299,140,161
300,156,182
301,147,177
302,126,155
303,134,163
304,136,166
305,139,169
306,142,173
307,141,172
308,139,168
309,131,160
310,127,159
311,125,158
312,219,191
313,173,158
314,177,177
315,173,189
316,149,161
317,156,172
318,141,142
319,152,156
320,193,160
321,222,191
322,217,186
323,180,154
324,146,176
325,148,182
326,142,173
327,190,192
328,133,145
329,121,137
330,158,165
331,101,89
332,214,190
333,200,175
334,206,187
335,209,186
336,203,184
337,195,178
338,198,178
339,208,185
340,221,191
341,202,180
342,215,193
343,208,186
344,127,118
345,4,2
346,113,120
347,155,169
348,167,164
349,182,181
350,185,171
351,192,176
352,197,180
353,196,182
354,177,181
355,25,25
356,82,79
357,155,177
358,121,155
359,148,183
360,178,185
361,186,193
362,191,192
363,125,124
364,194,190
365,194,187
366,206,195
367,197,193
368,169,172
369,141,136
370,209,195
371,149,133
372,205,188
373,105,105
374,153,161
375,84,104
376,169,193
377,179,189
378,159,160
379,178,170
380,195,195
381,121,126
382,15,16
383,140,144
384,183,185
385,2,2
386,176,176
387,198,188
388,175,188
389,126,136
390,146,157
391,171,160
392,200,189
393,198,191
394,170,181
395,168,175
396,179,184
397,177,186
398,177,184
399,176,187
400,165,166
401,155,157
402,167,149
403,189,184
404,171,172
405,187,185
406,163,163
407,89,113
408,187,183
409,174,172
410,174,166
411,192,188
412,53,51
413,194,188
414,59,80
415,200,198
416,150,168
417,173,183
418,141,169
419,210,199
420,203,197
421,188,187
422,134,154
423,172,192
424,162,176
425,174,162
426,200,189
427,188,167
428,180,170
429,186,186
430,36,35
431,13,10
432,182,182
433,182,182
434,187,185
435,189,182
436,191,184
437,194,186
438,189,183
439,197,187
440,194,184
441,192,186
442,191,184
443,16,10
444,181,179
445,184,179
446,193,184
447,195,182
448,10,8
449,166,180
450,172,185
451,155,166
452,124,116
453,157,156
454,189,189
455,156,156
456,136,136
457,184,182
458,89,112
459,172,167
460,191,187
461,194,190
462,143,130
463,168,171
464,174,177
465,192,196
466,206,192
467,202,190
468,157,152
469,168,191
470,140,170
471,193,180
472,215,188
473,195,170
474,196,170
475,193,178
476,138,154
477,179,170
478,199,190
479,193,178
480,153,148
481,161,167
482,152,166
483,151,180
484,153,186
485,145,166
486,155,158
487,151,133
488,168,181
489,142,169
490,181,176
491,182,175
492,195,191
493,151,146
494,187,189
495,169,174
496,180,186
497,185,188
498,164,162
499,81,89
500,185,171
501,160,153
502,125,127
503,203,189
504,208,194
505,147,138
506,196,186
507,195,194
508,178,188
509,131,124
510,109,107
511,196,195
512,171,176
513,179,186
514,187,181
515,201,191
516,186,167
517,200,185
518,174,166
519,120,112
520,204,195
521,183,182
522,176,178
523,201,198
524,149,144
525,181,166
526,58,80
527,226,198
528,153,153
529,192,192
530,184,182
531,178,181
532,58,80
533,177,186
534,179,194
535,173,183
536,144,145
537,199,197
538,161,172
539,160,186
540,204,195
541,202,195
542,166,157
543,144,149
544,159,172
545,148,162
546,159,187
547,199,180
548,187,188
549,172,177
550,173,184
551,171,169
552,196,192
553,155,162
554,164,161
555,194,194
556,165,167
557,183,185
558,179,175
559,202,195
560,152,163
561,90,84
562,200,186
563,132,152
564,158,152
565,193,184
566,197,196
567,127,130
568,174,178
569,172,175
570,170,184
571,180,179
572,155,157
573,188,195
574,188,195
575,182,189
576,128,122
577,21,18
578,25,21
579,165,189
580,173,195
581,175,196
582,172,194
583,172,194
584,173,195
585,169,193
586,169,194
587,169,195
588,168,196
589,153,164
590,170,174
591,145,149
592,153,170
593,178,176
594,187,188
595,183,188
596,185,187
597,184,192
598,166,178
599,171,177
600,78,79
601,161,164
602,112,124
603,174,171
604,79,83
605,16,17
606,198,192
607,163,162
608,157,154
609,160,156
610,166,169
611,158,175
612,153,165
613,150,140
614,154,143
615,212,174
616,221,191
617,173,174
618,172,183
619,148,162
620,155,167
621,168,182
622,185,169
623,89,125
624,133,135
625,178,183
626,170,176
627,86,86
628,103,112
629,80,98
630,110,134
631,98,85
632,165,155
633,126,146
634,149,180
635,153,185
636,48,38
637,157,182
638,190,195
639,186,190
640,137,150
641,117,110
642,203,196
643,204,196
644,184,173
645,185,180
646,193,187
647,82,78
648,195,195
649,195,195
650,191,195
651,148,151
652,184,195
653,188,196
654,175,185
655,158,163
656,182,193
657,149,161
658,161,184
659,161,187
660,154,185
661,154,183
662,155,186
663,147,175
664,155,173
665,184,183
666,170,178
667,105,122
668,76,75
669,189,192
670,156,160
671,180,187
672,150,157
673,138,144
674,180,191
675,145,147
676,187,173
677,149,138
678,108,134
679,160,173
680,104,111
681,77,85
682,175,192
683,172,191
684,10,10
685,176,186
686,184,192
687,179,190
688,178,190
689,181,192
690,181,191
691,179,190
692,10,10
693,182,190
694,184,192
695,183,191
696,176,181
697,163,184
698,145,150
699,123,130
700,193,190
701,190,189
702,154,169
703,149,161
704,167,191
705,183,166
706,62,58
707,5,5
708,178,191
709,184,195
710,182,194
711,183,194
712,182,194
713,179,193
714,177,191
715,182,194
716,184,194
717,184,193
718,185,192
719,187,194
720,188,193
721,186,194
722,187,195
723,190,195
724,188,195
725,189,195
726,191,192
727,194,195
728,194,195
729,192,193
730,193,194
731,193,194
732,189,195
733,191,195
734,189,195
735,185,193
736,189,194
737,190,194
738,191,193
739,193,193
740,189,192
741,194,194
742,193,193
743,193,194
744,198,194
745,200,194
746,198,192
747,196,192
748,198,193
749,196,193
750,194,192
751,197,194
752,194,193
753,193,194
754,189,194
755,186,192
756,184,191
757,187,192
758,191,193
759,190,193
760,190,192
761,195,193
762,197,192
763,199,192
764,200,193
765,203,193
766,203,193
767,203,193
768,202,193
769,203,194
770,204,195
771,198,193
772,202,193
773,205,195
774,208,196
775,211,195
776,207,192
777,212,194
778,213,196
779,209,192
780,211,194
781,212,196
782,215,196
783,207,191
784,49,64
785,144,169
786,2,2
787,174,192
788,164,192
789,162,188
790,173,196
791,145,173
792,129,149
793,175,193
794,153,172
795,164,186
796,163,184
797,166,192
798,151,187
799,152,189
800,156,193
801,157,189
802,160,192
803,145,136
804,188,191
805,154,161
806,115,116
807,185,186
808,148,146
809,160,162
810,172,179
811,155,170
812,124,125
813,175,177
814,185,185
815,211,186
816,205,193
817,183,190
818,166,170
819,152,161
820,72,69
821,174,147
822,185,159
823,126,104
824,178,170
825,155,161
826,154,153
827,186,193
828,167,179
829,152,181
830,156,179
831,142,154
832,187,197
833,174,188
834,173,184
835,144,165
836,161,185
837,136,150
838,173,182
839,116,116
840,97,112
841,160,184
842,155,170
843,173,182
844,129,132
845,156,159
846,192,189
847,210,190
848,198,178
849,118,112
850,170,177
851,184,187
852,185,191
853,138,149
854,168,171
855,49,47
856,152,163
857,149,169
858,136,146
859,191,171
860,207,184
861,187,171
862,172,152
863,212,192
864,141,138
865,113,124
866,87,91
867,127,123
868,82,78
869,85,76
870,179,171
871,110,109
872,131,136
873,183,171
874,127,138
875,152,163
876,107,112
877,195,192
878,193,190
879,190,189
880,104,104
881,113,119
882,110,113
883,186,196
884,114,122
885,130,128
886,99,104
887,123,133
888,192,191
889,187,168
890,210,192
891,205,189
892,178,177
893,189,187
894,86,139
895,30,29
896,151,173
897,125,132
898,72,75
899,127,126
900,193,163
901,217,189
902,222,185
903,230,180
904,239,185
905,174,137
906,172,168
907,200,188
908,182,181
909,160,171
910,161,172
911,144,136
912,200,188
913,150,130
914,193,177
915,104,107
916,107,113
917,165,160
918,173,165
919,143,156
920,131,148
921,161,176
922,170,176
923,134,157
924,96,88
925,196,187
926,188,183
927,175,171
928,186,193
929,158,171
930,142,139
931,185,190
932,147,143
933,185,197
934,183,178
935,195,194
936,163,170
937,188,196
938,169,165
939,159,158
940,154,150
941,191,195
942,189,183
943,182,185
944,149,161
945,66,60
946,83,75
947,132,138
948,142,129
949,205,197
950,77,82
951,154,141
952,166,177
953,204,197
954,207,199
955,207,199
956,204,198
957,207,199
958,206,199
959,197,193
960,201,196
961,194,195
962,198,196
963,199,197
964,201,198
965,197,195
966,196,197
967,195,196
968,194,197
969,193,196
970,193,197
971,193,197
972,195,197
973,194,196
974,112,120
975,197,196
976,197,197
977,193,195
978,193,195
979,194,195
980,191,194
981,191,196
982,191,193
983,193,195
984,191,194
985,193,196
986,194,194
987,195,194
988,198,196
989,196,195
990,199,195
991,200,195
992,199,194
993,189,196
994,98,100
995,214,196
996,216,199
997,215,197
998,0,0
999,152,158
1000,92,111
1001,173,168
1002,199,187
1003,189,184
1004,170,171
1005,136,119
1006,140,148
1007,175,182
1008,158,145
1009,196,192
1010,152,165
1011,176,178
1012,173,184
1013,175,190
1014,159,174
1015,202,199
1016,197,197
1017,197,198
1018,196,196
1019,194,196
1020,192,196
1021,190,197
1022,188,195
1023,188,198
1024,188,198
1025,185,199
1026,186,199
1027,187,198
1028,187,196
1029,188,198
1030,187,195
1031,187,196
1032,191,196
1033,192,198
1034,189,197
1035,191,199
1036,189,195
1037,103,101
1038,150,155
1039,57,48
1040,191,191
1041,89,143
1042,128,129
1043,163,175
1044,200,196
1045,195,190
1046,135,134
1047,132,127
1048,205,195
1049,205,195
1050,193,183
1051,98,93
1052,144,137
1053,116,100
1054,128,188
1055,67,57
1056,181,152
1057,157,148
1058,103,92
1059,184,194
1060,174,186
1061,178,188
1062,122,133
1063,173,173
1064,187,187
1065,123,134
1066,77,149
1067,96,81
1068,150,158
1069,120,104
1070,150,133
1071,222,190
1072,218,187
1073,208,183
1074,130,135
1075,188,186
1076,151,156
1077,180,165
1078,129,136
1079,156,151
1080,85,98
1081,150,155
1082,191,194
1083,140,178
1084,163,193
1085,162,193
1086,162,193
1087,165,194
1088,156,189
1089,158,196
1090,159,196
1091,161,196
1092,159,196
1093,159,196
1094,158,194
1095,158,194
1096,159,196
1097,158,194
1098,157,192
1099,161,197
1100,156,187
1101,159,197
1102,159,197
1103,158,195
1104,158,195
1105,159,197
1106,147,190
1107,149,197
1108,151,195
1109,150,194
1110,147,194
1111,154,197
1112,153,195
1113,150,195
1114,157,197
1115,151,193
1116,151,193
1117,155,196
1118,148,193
1119,145,193
1120,154,196
1121,154,196
1122,149,189
1123,149,191
1124,153,193
1125,153,193
1126,152,191
1127,153,193
1128,155,196
1129,155,196
1130,154,194
1131,154,194
1132,155,196
1133,156,193
1134,155,191
1135,159,196
1136,153,186
1137,160,197
1138,160,197
1139,159,195
1140,159,195
1141,160,197
1142,158,195
1143,158,195
1144,157,193
1145,157,195
1146,156,196
1147,156,196
1148,151,189
1149,151,191
1150,155,196
1151,155,196
1152,150,189
1153,152,191
1154,155,194
1155,155,194
1156,151,189
1157,156,196
1158,156,196
1159,151,189
1160,152,191
1161,157,197
1162,157,197
1163,156,195
1164,156,195
1165,158,197
1166,161,193
1167,157,191
1168,154,191
1169,160,193
1170,160,193
1171,155,188
1172,168,197
1173,168,197
1174,163,190
1175,164,192
1176,167,196
1177,167,196
1178,162,189
1179,162,191
1180,164,193
1181,161,193
1182,167,197
1183,152,190
1184,161,193
1185,164,193
1186,152,188
1187,161,195
1188,160,193
1189,159,188
1190,145,185
1191,160,197
1192,159,195
1193,158,190
1194,150,191
1195,158,193
1196,160,193
1197,157,196
1198,166,196
1199,163,192
1200,160,192
1201,163,192
1202,160,192
1203,167,192
1204,162,190
1205,164,190
1206,172,193
1207,169,193
1208,182,193
1209,173,189
1210,180,196
1211,185,193
1212,187,193
1213,190,194
1214,192,194
1215,199,197
1216,199,197
1217,194,190
1218,195,192
1219,200,195
1220,200,195
1221,199,193
1222,199,195
1223,195,195
1224,161,173
1225,187,190
1226,212,192
1227,219,185
1228,197,181
1229,155,154
1230,139,123
1231,138,131
1232,204,195
1233,167,169
1234,132,122
1235,78,70
1236,200,195
1237,190,187
1238,178,181
1239,190,194
1240,175,179
1241,189,192
1242,177,151
1243,16,13
1244,36,29
1245,205,192
1246,206,194
1247,195,187
1248,193,186
1249,199,195
1250,203,198
1251,203,198
1252,197,195
1253,192,196
1254,189,195
1255,189,196
1256,187,196
1257,8,9
1258,170,186
1259,160,183
1260,166,192
1261,159,186
1262,167,190
1263,150,167
1264,128,114
1265,199,195
1266,198,196
1267,189,188
1268,194,197
1269,134,128
1270,125,129
1271,146,145
1272,177,161
1273,212,194
1274,188,185
1275,106,85
1276,120,105
1277,217,189
1278,220,196
1279,86,81
1280,122,99
1281,153,162
1282,157,167
1283,167,153
1284,201,182
1285,142,134
1286,32,27
1287,152,138
1288,203,185
1289,156,144
1290,191,190
1291,174,177
1292,184,186
1293,192,196
1294,176,175
1295,126,116
1296,48,44
1297,218,193
1298,84,66
1299,159,164
1300,161,174
1301,169,189
1302,11,6
1303,189,190
1304,191,171
1305,103,117
1306,179,181
1307,179,191
1308,158,133
1309,165,150
1310,186,183
1311,178,163
1312,213,192
1313,188,177
1314,162,154
1315,152,154
1316,167,169
1317,172,175
1318,29,29
1319,99,88
1320,5,4
1321,180,189
1322,188,195
1323,189,194
1324,188,194
1325,189,193
1326,187,192
1327,189,195
1328,188,195
1329,188,193
1330,190,194
1331,186,191
1332,191,194
1333,192,195
1334,194,194
1335,23,24
1336,92,89
1337,189,183
1338,184,184
1339,133,137
1340,186,179
1341,169,151
1342,158,148
1343,142,138
1344,149,138
1345,158,185
1346,164,192
1347,162,189
1348,160,190
1349,143,176
1350,65,59
1351,193,180
1352,201,188
1353,197,185
1354,174,175
1355,46,43
1356,110,119
1357,178,188
1358,61,59
1359,209,191
1360,22,21
1361,180,192
1362,171,185
1363,137,150
1364,177,195
1365,168,184
1366,182,194
1367,183,196
1368,156,162
1369,2,2
1370,188,188
1371,56,45
1372,192,191
1373,135,135
1374,162,150
1375,175,167
1376,145,192
1377,140,190
1378,147,194
1379,138,183
1380,146,192
1381,144,193
1382,145,188
1383,147,187
1384,153,195
1385,153,195
1386,148,190
1387,145,191
1388,61,59
1389,213,188
1390,153,138
1391,185,172
1392,189,172
1393,139,127
1394,122,125
1395,185,166
1396,198,166
1397,159,157
1398,177,175
1399,195,192
1400,159,146
1401,162,167
1402,186,189
1403,168,173
1404,126,135
1405,17,17
1406,180,192
1407,171,185
1408,137,150
1409,177,195
1410,168,184
1411,182,194
1412,183,196
1413,156,162
1414,2,2
1415,167,170
1416,183,187
1417,146,157
1418,173,143
1419,204,181
1420,197,196
1421,106,108
1422,179,186
1423,121,112
1424,170,178
1425,72,69
1426,149,156
1427,143,178
1428,170,192
1429,189,182
1430,134,139
1431,53,50
1432,161,181
1433,156,182
1434,159,186
1435,159,183
1436,61,59
1437,145,127
1438,208,189
1439,169,154
1440,173,190
1441,152,173
1442,105,101
1443,144,174
1444,146,181
1445,156,193
1446,111,112
1447,180,173
1448,180,167
1449,5,4
1450,189,190
1451,193,194
1452,188,192
1453,188,193
1454,188,192
1455,188,193
1456,183,190
1457,182,190
1458,182,193
1459,185,193
1460,187,193
1461,191,195
1462,158,165
